Name,Latitude,Longitude,Color
Atlanta United FC,33.7647,-84.4011,#80000A
Chicago Fire Soccer Club,41.764722222222,-87.806111111111,#102141
Colorado Rapids,39.805555555556,-104.89194444444,#862633
Columbus Crew SC,40.009444444444,-82.991111111111,#FFF200
D.C. United,38.889722222222,-76.971666666667,#232020
F.C. Dallas,33.154458333333,-96.835158333333,#BF0D3E
Houston Dynamo,29.7522,-95.3524,#F68712
Los Angeles Galaxy,33.864444444444,-118.26111111111,#00245D
Minnesota United FC,44.976,-93.225,#9BCDE4
Montreal Impact F.C.,45.563055555556,-73.5525,#00529B
New England Revolution,42.090944444444,-71.264344444444,#C63323
New York City FC,40.829569,-73.926392,#69ACE5
New York Red Bulls,40.736666666667,-74.150277777778,#ED1E36
Orlando City SC,28.539166666667,-81.402777777778,#612B9B
Philadelphia Union,39.832222,-75.378889,#B1872D
Portland Timbers,45.521388888889,-122.69166666667,#004812
Real Salt Lake,40.5829,-111.893,#B30838
San Jose Earthquakes,37.350556,-121.936667,#231F20
Seattle Sounders FC,47.595277777778,-122.33166666667,#005695
Sporting Kansas City,39.1218,-94.8237,#93B1D7
Toronto FC,43.632778,-79.418611,#E31937
Vancouver Whitecaps FC,49.276666666667,-123.11194444444,#9DC2EA
